Регион,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",Добыча полезных ископаемых,Обрабатывающие производства,"Обеспечение электрическое энергией, газом и паром; кондиционирование воздуха","Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",Строи-тельство,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,Транспортировка и хранение,Деятельность гостиниц и предприятий общественного питания,Деятельность в области информации и связи,Деятельность по операциям с недвижимым имуществом,Образо-вание,Деятельность в области здравоохранения и социальных услуг,Другие виды деятельности
Республика Марий Эл,3239.7999999999997,66.8,7080.8,868.4,467.59999999999997,2505.0,5243.8,1770.2,668.0,534.4,734.8000000000001,3006.0,2338.0,4809.6
Республика Мордовия,8760.0,43.800000000000004,7314.599999999999,700.8000000000001,394.2,3810.6,5913.0,2365.2000000000003,481.8,657.0,1007.4,3328.7999999999997,2890.7999999999997,6175.8
Республика Татарстан,15473.599999999999,5090.0,35833.600000000006,4886.4,2239.6000000000004,20156.4,33594.0,14455.599999999999,4682.799999999999,4275.6,5904.4,17306.0,10587.2,29318.4
Удмуртская Республика,4272.8,1373.4,15870.4,1602.3,839.3000000000001,6867.0,11902.8,4883.2,1907.5,1220.8,1602.3,7324.8,5035.8,11521.3
Чувашская Республика,5715.2,60.800000000000004,12524.800000000001,1094.4,486.40000000000003,6505.599999999999,9971.199999999999,2857.6,1459.2,972.8000000000001,1520.0,5046.400000000001,4134.4,8512.0
Пермский край,5267.5,1960.0,24622.5,2940.0,1102.5,11515.0,20212.5,8820.0,3185.0,2205.0,3062.5,9310.0,7595.0,20580.0
Кировская область,5796.7,127.4,12931.1,1911.0,573.3000000000001,3503.5,10701.6,3822.0,1210.3,891.8,1210.3,5733.0,4968.599999999999,10383.1
Нижегородская область ,6314.400000000001,175.4,35255.4,3508.0,1929.4,15961.4,36307.799999999996,10699.4,3683.4,3683.4,4560.400000000001,12278.0,10348.6,30519.6
Оренбургская область,13671.0,4278.0,10788.0,2604.0,1023.0000000000001,6789.0,15345.0,6417.0,1674.0,1302.0,1953.0,7533.0,6324.0,13206.0
Пензенская область,6888.0,65.60000000000001,11611.199999999999,1180.8,590.4,5051.2,13907.199999999999,4198.400000000001,1443.2,1049.6000000000001,1508.8,4329.599999999999,4067.2000000000003,9643.199999999999
Самарская область,8583.3,2187.9,32145.300000000003,4207.5,1851.3000000000002,12959.1,29284.199999999997,14137.2,4544.1,3870.8999999999996,4712.4,11276.1,10266.3,28442.699999999997
Саратовская область,9503.7,842.0999999999999,16481.1,3488.7,1323.3000000000002,8781.9,24420.9,9864.599999999999,2766.8999999999996,2045.1,2887.2,9984.900000000001,9142.8,18646.5
Ульяновская область,5193.5,244.4,13014.300000000001,1649.7,733.1999999999999,4338.099999999999,9470.5,3604.9,1160.8999999999999,1466.3999999999999,1466.3999999999999,4888.0,4154.8,9714.9
Уральский федеральный округ,24655.8,37932.0,101152.0,17069.4,5689.8,58162.399999999994,109370.6,48679.4,14540.599999999999,11379.6,17069.4,48679.4,38564.2,99887.6
Курганская область,3540.4999999999995,109.5,6424.000000000001,1131.5,292.0,1971.0000000000002,5292.5,2117.0,620.5,547.5,693.5,3905.4999999999995,3139.0,6679.5
Свердловская область ,6375.0,2762.5,42500.0,5525.0,1912.5,13175.0,46962.5,13600.0,4675.0,4037.5,5950.0,17637.5,13387.5,34000.0
Тюменская область,5479.599999999999,29355.0,14286.1,6458.099999999999,1565.6000000000001,23875.399999999998,25832.399999999998,19765.7,5088.2,3326.9,4892.5,13307.6,10959.199999999999,31703.399999999998
Челябинская область,9750.0,1875.0,41625.0,3562.5,1875.0,18000.0,32812.5,12187.5,3937.5,3187.5,5250.0,14250.0,11250.0,27750.0
Сибирский федеральный округ,63937.5,23870.0,109120.0,23870.0,7672.5,60527.5,152597.5,66495.0,17902.5,15345.0,23017.5,78430.0,61380.0,147482.5
Республика Алтай,1672.0000000000002,76.0,465.50000000000006,209.00000000000003,76.0,560.5,1320.5,427.5,218.49999999999997,161.5,104.50000000000001,1434.5,855.0,1919.0
Республика Тыва,842.4,444.59999999999997,397.8,245.70000000000002,93.60000000000001,479.69999999999993,1591.2,409.5,257.40000000000003,140.4,140.4,2691.0,1415.7,2550.6
Республика Хакасия,1623.6,984.0,2927.4,688.8,196.8,1820.4,4378.8,1746.6,590.4,369.0,590.4,2607.6,1869.6,4231.2
Алтайский край,14820.0,456.0,15048.0,2964.0,1026.0,7182.0,23028.0,7524.0,1596.0,1938.0,2508.0,10260.0,8550.0,16986.0
Красноярский край,10818.6,3260.4,20451.600000000002,5038.8,1333.8,11707.800000000001,23415.600000000002,11856.0,2667.6,2371.2000000000003,3705.0,13486.199999999999,10818.6,27120.600000000002
Иркутская область,7818.900000000001,3851.1,13420.5,3384.2999999999997,816.9,9102.6,22289.7,9686.1,2800.7999999999997,1633.8,2800.7999999999997,11553.300000000001,8402.4,19022.100000000002
Кемеровская область,3485.7000000000003,12651.800000000001,15104.699999999999,4518.5,1420.1000000000001,8133.3,19752.3,11489.9,2969.2999999999997,1936.5,3873.0,10973.5,10198.9,22592.5
Новосибирская область ,8294.0,715.0,19305.0,2717.0,1144.0,9581.0,29744.0,11869.000000000002,3146.0000000000005,3861.0000000000005,5005.0,11583.0,8723.0,27170.0
Омская область,12090.4,101.60000000000001,14630.4,2235.2000000000003,1016.0,8432.800000000001,16967.2,7213.599999999999,2032.0,2032.0,3251.2000000000003,8229.6,7416.8,15951.199999999999
Томская область,2867.2999999999997,1352.5,6924.8,1406.6000000000001,432.8,3678.7999999999997,10441.300000000001,4273.900000000001,1893.5,1082.0,1136.1000000000001,5410.0,3516.5,9738.0
